Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,cleaned_tweet
"USER USER USER USER USER USER Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'",1,1,1,0,1,0,0,0,0,1,0,0,pengguna pengguna pengguna pengguna pengguna pengguna lawan bicara gue tidak intelek kayak kamu yang otak tidak punya tentang kencing  gue mengakui hadis nabi dan itu sahih  kayak kamu pasti menolak makanya kamu ahlun nar
Belakangan ini kok fikiran ampas banget ya',0,0,0,0,0,0,0,0,0,0,0,0,belakangan ini kok pikiran  banget ya
Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86',0,1,0,0,0,0,0,0,0,0,0,0,ari sama beki adalah rapi
Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !',1,1,0,1,0,0,0,1,0,0,1,0,jadi cowok itu harus gantle kalau tidak gantle itu namanya
USER Slga mnr bom \xf0\x9f\x98\x82',0,0,0,0,0,0,0,0,0,0,0,0,pengguna alga mnr bom
"Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'",0,1,0,0,0,0,0,0,0,0,0,0,ya tapi gue jarang mengambek takut wkwk gue kan budak cinta
USER kalo kamu noob pasti peluang disakitin nya lebih gede si',0,0,0,0,0,0,0,0,0,0,0,0,pengguna kalau kamu  pasti peluang disakiti nya lebih gede sih
"USER Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g",0,0,0,0,0,0,0,0,0,0,0,0,pengguna joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak
PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp; PILKADA 2018 DAMAI,0,0,0,0,0,0,0,0,0,0,0,0,pelajar sama kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah  damai
Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;,0,0,0,0,0,0,0,0,0,0,0,0,bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat insya allah siap beroperasi bulan depan
"Siapapun gubernur dan presidennya, rakyatnya, ya kita² juga...",0,0,0,0,0,0,0,0,0,0,0,0,siapapun gubernur dan presidennya rakyatnya ya kita juga
Ini si USER kerjaannya delay mulu! Setan!',1,1,0,1,0,0,0,0,1,0,1,0,ini sih pengguna kerjaannya delay mulu
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,0,0,0,0,0,0,0,0,0,0,0,0,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget
RT USER USER USER PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.,1,0,0,1,0,1,0,0,0,0,1,0,rt pengguna pengguna pengguna partai  indonesia hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong
USER USER Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus',1,1,1,0,0,0,0,0,1,1,0,0,pengguna pengguna itu adalah sudah neneknenek saya heran sama  biasanya bohong terus
"USER USER USER USER USER USER USER USER USER Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek\xc2\xb2 JIL.\n\nSementara JIL anti Arab, tapi pro Aseng!\n\nKata (alm) KH. Hasyim Muzadi,",1,0,0,1,1,0,0,0,0,0,1,0,pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna islam nusantara produk jil dipasarkan dengan gencar oleh    jil  sementara jil anti arab tapi pro   kata almarhum kh hasyim muzadi
Dari habis sahur sampe jam 10. Sibayik udah nete 4x. Skg rasanya lemas tak terkira \xf0\x9f\xa4\xa2',0,0,0,0,0,0,0,0,0,0,0,0,dari habis sahur sampai jam   sih bayi sudah   x sekarang rasanya lemas tak terkira
USER Gak kak emak mah gak demen ama yang sipit wkwk',0,0,0,0,0,0,0,0,0,0,0,0,pengguna tidak kak emak adalah tidak suka sama yang  wkwk
"RT USER: Kelakuan homok jaman now, ngentot aja sambil live di Blued #gayvid #gvid #lokalhangat URL",0,1,0,0,0,0,0,0,0,0,0,0,rt pengguna kelakuan  jaman now  saja sambil live di blued  video gvid lokal hangat uniform resource locator
"USER Ga kak, gua bukan orang jawa maaf yak :(; ; gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. Atau kalak mau belajar budaya palembang?",0,0,0,0,0,0,0,0,0,0,0,0,pengguna tidak kak gue bukan orang jawa maaf ya   gue orang palembang soalnya kakak saja deh yang belajar aksara jawa atau kelak mau belajar budaya palembang
Pegawai Guardian training lagi kek Mentang2 gue kek gembel cuman kaos sama Flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari',1,1,0,1,0,0,0,0,1,0,1,0,pegawai guardian training lagi kayak mentang gue kayak  cuma kaos sama flat shoes bertanya dijutekin  memang malas belinya juga kabur gue ke matahari
\xe2\x80\x9dPara Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!!\xe2\x80\x9d(sanji) ##HBD17thPelautJKT48',0,1,0,0,0,0,0,0,0,0,0,0,para  yang telah melukai lady harus menerima ganjaran seratus kali lipat   sanji selamat ulang tahun thpelautjkt
ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri:,0,0,0,0,0,0,0,0,0,0,0,0,ajakan menolak berita hoaks dan sukseskan pilihan kepala daerah di wilayah kota kediri
USER USER Presiden RI Jokowi luarBiasa kerja nya tulus IHLAs untuk #RakyatB3rsamaJKW,0,0,0,0,0,0,0,0,0,0,0,0,pengguna pengguna presiden ri jokowi luar biasa kerja nya tulus ikhlas untuk rakyatb rsamajkw
Edan emang goollnya fabiano!!',0,1,0,0,0,0,0,0,0,0,0,0,memang tujuannya fabiano
GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA farhatabbaslaw',1,1,1,0,1,0,1,0,0,1,0,0,tidak pernah mendalami alalquran ya bang pantas saja mulutnya kayak orang    farhat abbas law
"Sangat terlihat beda sekali Kewibawaannya ,; yg sangat berwibawa cuma gubernur Indonesia USER ; Massya Allah...",0,0,0,0,0,0,0,0,0,0,0,0,sangat terlihat beda sekali kewibawaannya  yang sangat berwibawa cuma gubernur indonesia pengguna  masya allah
Anjir baru kali ini lihat orang bego mau debat pilkada. Kerjanya nyerang karakter. Shame on you mpok silvy and agus. #DebatFinalPilkadaJKT,1,1,0,1,0,0,0,0,1,0,1,0,baru kali ini lihat orang  mau debat pilihan kepala daerah kerjanya menyerang karakter kecewa on kamu empok silvy and agus debat final pemilihan kepala daerah jakarta
"#GubernurZamanNow #GusIpulPuti2 #GanjarYasin1 #DjarotSihar2 #HasanAnton2 #KosterAce1 #NurdinSudirman3 #KarolinGidot2 RT USER: ""Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,�?? tutur Djarot di hadapan peserta Rakercabsu�?�",0,0,0,0,0,0,0,0,0,0,0,0,gubernur zaman now gusipulputi ganjar yasin djarotsihar hasananton kosterace nurdinsudirman karolingidot rt pengguna keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan peserta rakercabsu
"USER USER Apa iya Islam itu ga boleh dilokalisasi? Lha Kristen aja mas ada Nusantaranya mas, liat aja di Gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs Sunda/Jawa, ada HKBP juga kurang Nusantara apa?'",0,0,0,0,0,0,0,0,0,0,0,0,pengguna pengguna apa iya islam itu tidak boleh di lokalisasi lah kristen saja mas ada nusantaranya mas lihat saja di gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas sundajawa ada huria kristen batak protestan juga kurang nusantara apa
"Ciptakan Situasi Kamtibmas Menjelang Pilkada 2018, Kapolsek Konang Silaturahmi ke Tokoh Masyarakat",0,0,0,0,0,0,0,0,0,0,0,0,ciptakan situasi keamanan dan ketertiban masyarakat menjelang pilihan kepala daerah   kepala kepolisian sektor konang silaturahmi ke tokoh masyarakat
USER USER positif kok.\nse-positif respon masyarakat terhadap\n- CANGKUL impor\n- GARAM impor\n- BERAS impor\n- JAGUNG impor\n- TENAGA KERJA impor\n- ESEMKA impor\n\nURL,0,0,0,0,0,0,0,0,0,0,0,0,pengguna pengguna positif kok sepositif respon masyarakat terhadap  cangkul impor  garam impor  beras impor  jagung impor  tenaga kerja impor  esemka impor  uniform resource locator
"USER USER USER USER Kata Sembahyang mengadopsi tradisi lokal pada masa kerjaan Hindu.\n\nIstilah\xc2\xa0sembahyang\xc2\xa0pun lahir dari tradisi ritus\xc2\xa0menyembahHyang (Yang Tunggal), sama dengan\xc2\xa0shalat menyembah All",0,0,0,0,0,0,0,0,0,0,0,0,pengguna pengguna pengguna pengguna kata sembahyang mengadopsi tradisi lokal pada masa pekerjaan hindu  istilah  sembahyang  pun lahir dari tradisi ritus  menyembahhyang yang tunggal sama dengan  salat menyembah all
KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA,1,1,1,0,0,0,0,0,1,1,0,0,kamu pendidikan tinggi tapi tidak ada larang bawa agamabiar orang islam yang di bayar ahok sadar tidak jadi memilih ahok
"USER USER BTP the best ,,,abaikan kaum kampret otak micin ,,,'",1,1,0,1,0,0,0,0,1,0,1,0,pengguna pengguna ahok the best abaikan kaum  otak micin
"USER USER , si otak tempurung mah ga usah d ladenin. Smkn d lawan semakin Bloon dan Dungu. Dan kalo ga gitu dia ga makan. Hehe'",1,1,1,0,0,0,0,0,1,1,0,0,pengguna pengguna  sih otak tempurung adalah tidak usah di meladeni semakin di lawan semakin belum dan  dan kalau tidak begitu dia tidak makan hehe
"USER Awaasss... Jgn sampe beritanya sampe ke akhi gerung! Ntar susah nyari kosakatany. klu bcr aja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. ""politik kotor skl jmn ini!"". Klu tahu brt ini.. Plng Sambil ky nhn ngeden..""dungu!"". \xf0\x9f\x98\x8b",1,1,1,0,0,0,1,0,0,1,0,0,pengguna awaasss jangan sampai beritanya sampai ke saudara gerung nanti susah mencari kosakatanya kalau bocor saja memicing mata bibir monyong kesamping suara keluar ky lagi nhn kentut politik kotor sekali zaman ini kalau tahu brt ini pulang sambil ky nhn ngeden
pinokio umur 3 taonan tuh. #2019GantiPresiden,1,0,1,0,0,0,0,0,1,1,0,0,pinokio umur  tahunan itu  ganti presiden
"USER Cerita silat lae \xf0\x9f\x98\x80 semacam Kho Ping Hoo yang dari Indonesia, tapi Liang Ie Shen penulis dari China'",0,0,0,0,0,0,0,0,0,0,0,0,pengguna cerita silat lae      semacam kho merah muda oh yang dari indonesia tapi liang ie shen penulis dari cina
RT USER benci sekali dgn Umat Islam,1,0,0,1,1,0,0,0,0,0,1,0,rt pengguna benci sekali dengan umat islam
"USER USER USER ""Provokasi mayat, politisasi agama"" penyebab kekalahan pilkada DKI, beginilah cara cebong mendeskripsikan kekalahan junjungannya.; FYI ahog blm pernah ikut pemilihan apapun (kec jd wakil) dan dia bukanlah etnis mayorita",1,1,1,0,0,1,0,0,0,1,0,0,pengguna pengguna pengguna provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus ibu kota beginilah cara  mendeskripsikan kekalahan junjungannya for your information ahok belum pernah ikut pemilihan apapun kecamatan jadi wakil dan dia bukanlah etnis mayoritas
USER dari pada gua nete',0,1,0,0,0,0,0,0,0,0,0,0,pengguna dari pada gue
USER Lol bani lowo',1,1,0,1,0,0,0,0,1,0,1,0,pengguna wkwk  lowo
"Takabur bisa lahir dari siapa saja. Penguasa, rakyat, ulama maupun cendikia. Bahkan iblis mahluq yg alim &amp; telah beribadah beratus2 th dilaknat krn hasud takabburnya. Apalagi hanya seorang ahli ilmu filsafat yg tdk failosof; ; Mari kita demo diri sendi",0,0,0,0,0,0,0,0,0,0,0,0,takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan  makhluk yang alim amp telah beribadah beratus tahun dilaknat karena hasud takaburnya apalagi hanya seorang ahli ilmu filsafat yang tidak failosof  mari kita demo diri sendi
"A orang yang suka ke konser-konser, sedikit boros.",0,0,0,0,0,0,0,0,0,0,0,0,a orang yang suka ke konserkonser sedikit boros
[ SAMPAI KAPAN MAKAN RACUN ? ]; _; Banyak ulama yang mengatakan hukum rokok mubah dan ada juga�?�,0,0,0,0,0,0,0,0,0,0,0,0,sampai kapan makan racun    banyak ulama yang mengatakan hukum rokok mubah dan ada juga
Susilo Bambang Yudhoyono Presiden RI ke 6 meminta Khofifah Emil untuk dekat dengan masyarakat . No 1 Bisa ! BaGusS #KhofifahEmilNomer1,0,0,0,0,0,0,0,0,0,0,0,0,susilo bambang yudhoyono presiden ri ke  meminta khofifah emil untuk dekat dengan masyarakat  no  bisa  bagus khofifahemilnomer
"USER udah biasa kali. Gue kpoper tapi kalo ngomonv sama temen2 gue, idol gua banci homo'",1,1,1,0,0,0,0,1,0,1,0,0,pengguna sudah biasa kali gue penggemar korea pop tapi kalau mengomong sama teman gue idol gue
Saya suka video USER URL Awal Kisah Perseteruan Haji Bolot &amp; Malih Tongtong',0,0,0,0,0,0,0,0,0,0,0,0,saya suka video pengguna uniform resource locator awal kisah perseteruan haji bolot amp malih tongtong
"Budaya kafir bersungguh, klau hal2 islam tidak diendahkan...",0,0,0,0,0,0,0,0,0,0,0,0,budaya  bersungguh kalau hal islam tidak diindahkan
"USER USER USER USER \xf0\x9f\x8e\xb6 la la la...hm hmm \xf0\x9f\x8e\xa7 ""Semua diam ,semua bisu""\n""Kita coba tanya sama rumput yg bergoyang"" \n\xe2\x99\xab\xe2\x99\xab\xe2\x99\xab\xe2\x99\xaa\xe2\x99\xaa\xe2\x99\xaa'",0,0,0,0,0,0,0,0,0,0,0,0,pengguna pengguna pengguna pengguna      lah lah lahhem hem      semua diam semua  kita coba tanya sama rumput yang bergoyang
"Apabila setan membisikkan was-was kepadamu, mintalah perlindungan kepada Allah. (QS. al-A\xe2\x80\x99raf: 200 dan Fushilat: 36).'",0,0,0,0,0,0,0,0,0,0,0,0,apabila  membisikkan waswas kepadamu mintalah perlindungan kepada allah qs ala   raf  dan fussilat
USER USER USER USER USER USER USER Klw ente atheis..ngapain sibuk dgn agama orang...,0,0,0,0,0,0,0,0,0,0,0,0,pengguna pengguna pengguna pengguna pengguna pengguna pengguna kalau kamu apa sibuk dengan agama orang
Lengserkan Jokowi Bangsat!!,1,1,1,0,0,0,0,0,1,0,0,1,lengserkan jokowi
USER Selamat hari kartini ; ; #2019GANTIPRESIDEN; #2019PRESIDENBARU,0,0,0,0,0,0,0,0,0,0,0,0,pengguna selamat hari kartini    ganti presiden  presidenbaru
"RT USER: Bajingan Homo!!!\nHati2 terhadap anak2 kita terutama di kamar mandi laki2, jgn biarkan sendiri! URL",1,1,1,0,0,0,0,1,0,1,0,0,rt pengguna   hati terhadap anak kita terutama di kamar mandi laki  jangan biarkan sendiri uniform resource locator
USER Iya cocot',1,1,1,0,0,0,0,0,1,1,0,0,pengguna iya
USER karena budaya indonesia.,0,0,0,0,0,0,0,0,0,0,0,0,pengguna karena budaya indonesia
"USER Yang ngajarin solat'a ajah itu orang aseng dia hanya ingin memecah belah islam""",0,0,0,0,0,0,0,0,0,0,0,0,pengguna yang mengajarkan salata saja itu orang  dia hanya ingin memecah belah islam
USER x || Lo ngomong aja kaga bener bangke',1,1,1,0,0,0,0,0,1,1,0,0,pengguna x  kamu berbicara saja tidak benar
USER USER Kita semua tidak pernah akan mempercayai yg negara Kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara Kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja,0,0,0,0,0,0,0,0,0,0,0,0,pengguna pengguna kita semua tidak pernah akan memercayai yang negara kita di suatu hari nanti akan dijajah oleh ke ranah terdapat kes pembubaran sistem beraja di negara kita kini untuk menjadikan sebagai negara republik  padahal negara penjaja
tapi masih menikmati kebijakan yang dulu diusulkan PKI.. lha yo opo...,1,0,0,1,0,1,0,0,0,0,1,0,tapi masih menikmati kebijakan yang dulu diusulkan partai  indonesia lah iya apa
Kalo seumpama orang cina di usir paksa dari indonesia gimana,1,0,0,1,0,1,0,0,0,0,1,0,kalau seumpama orang cina di usir paksa dari indonesia bagaimana
USER bunda ngentot yuk',0,1,0,0,0,0,0,0,0,0,0,0,pengguna bunda  yuk
RT USER: china babi... china maling...\n#UsirChina https:\/\/t.co\/9y4HIWHJp2,1,1,0,1,0,1,0,0,0,0,0,1,rt pengguna cina  cina maling usir cina hypertext transfer protocol over secure socket layertco iya hiwhjp
"Bung Karno anti asing dan beliau dari Jawa, coba deh adain konsensus lebih banyak mana Jawa yang anti asing atau pro asing karena kebo*ohannya. \n\nKalau kami keliru kami tutup akun'",0,0,0,0,0,0,0,0,0,0,0,0,bung karno anti  dan beliau dari jawa coba deh adakan konsensus lebih banyak mana jawa yang anti  atau pro  karena keboohannya   kalau kami keliru kami tutup akun
PROYEK KORUPSI REZIM SBY URL,1,0,1,0,0,0,0,0,1,1,0,0,proyek korupsi  susilo bambang yudhoyono uniform resource locator
"USER Wajar saja, lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara'",0,0,0,0,0,0,0,0,0,0,0,0,pengguna wajar saja lihat saja tingkah beberapa petinggi negeri ini yang suka mencampur bahas indonesia dengan bahas  setiap kali bicara
AB: pribadi yg senang berkompetisi dalam hal yang baik dan positif,0,0,0,0,0,0,0,0,0,0,0,0,ab pribadi yang senang berkompetisi dalam hal yang baik dan positif
USER USER Terus menurut lo kitab suci agAma apa yg di bilang om USER ; ; #Mendadakkalap,1,0,1,0,0,0,0,0,1,1,0,0,pengguna pengguna terus menurut kamu kitab suci agama apa yang di bilang om pengguna   mendadak kalap
USER Suka nutup mata. Kaga ditutup pun udah terlihat tertutup gara2 sipit /?',0,0,0,0,0,0,0,0,0,0,0,0,pengguna suka menutup mata tidak ditutup pun sudah terlihat tertutup gara
"USER Sy sbg muslim tdk merasa pak USER menistakan kitab suci Alqur'an, krn dlm Alqur'an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam, tp kami yakini kata tsb ada makna yg tersirat (fiksi) yg blm",0,0,0,0,0,0,0,0,0,0,0,0,pengguna saya sebagai muslim tidak merasa pak pengguna menistakan kitab suci alquranan karena dalam alquranan sendiri ada beberapa suku kata yang sampai detik ini belum diketahui makna faktualnya oleh umat islam tetapi kami yaitu kata tersebut ada makna yang tersirat fiksi yang belum
USER eh kasar kau kampang',1,1,1,0,0,0,0,0,1,1,0,0,pengguna eh kasar kamu
"BENTAR LAGI GUA RILIS ALBUM THE ONTA'S WKWKWKWKWK""",0,0,0,0,0,0,0,0,0,0,0,0,bentar lagi gue rilis album the si wkwk
USER Ada cebong bang dia merasa paling benar',1,1,1,0,0,0,0,0,1,1,0,0,pengguna ada  bang dia merasa paling benar
Najis banget gw ngetwit apa barusan wey',0,1,0,0,0,0,0,0,0,0,0,0,banget gue mentwit apa barusan he
Kamu transgender atau gmn anjing :( URL,1,1,1,0,0,0,0,1,0,1,0,0,kamu  atau bagaimana   uniform resource locator
USER awas bintitan lu ngintipin titit kucing',0,1,0,0,0,0,0,0,0,0,0,0,pengguna awas bintitan kamu mengintip  kucing
"USER USER Bawel, baper, bolot, baik, bodor , gaje wkwk apa ya udah itu aja deh'",0,1,0,0,0,0,0,0,0,0,0,0,pengguna pengguna bawel bawa perasaan bolot baik bodor  enggak jelas wkwk apa ya sudah itu saja deh
"USER USER USER USER Gue saranin gk perlu bnyk bacot maling ayat, langsung to the point aja lu jadi orang... Yg tdk sepaham lu teriakin aja kafir sesat, liberal, pemuja dukun, bla blaaa.. pasti hatimu puas dehh ..'",1,1,1,0,1,0,0,0,0,1,0,0,pengguna pengguna pengguna pengguna gue menyarankan tidak perlu banyak  maling ayat langsung to the point saja kamu jadi orang yang tidak sepaham kamu teriaki saja  sesat liberal pemuja dukun bla blaaa pasti hatimu puas deh
Jgn salah target bkn ahok... agenda utama lengserkan Jokowi ..,1,0,1,0,0,0,0,0,1,0,0,1,jangan salah target bukan ahok agenda utama lengserkan jokowi
USER USER masa baru kena hestek aja udah kepanasan ??? Kepo banget ; ; #2019GantiPresiden,1,0,1,0,0,0,0,0,1,1,0,0,pengguna pengguna masa baru kena tagar saja sudah kepanasan  ingin tahu banget    ganti presiden
"Maju lu sini duit tapi kau goyang kaki tak buat pape , mana la duit nak maju kat kau bodo URL",0,1,0,0,0,0,0,0,0,0,0,0,maju kamu sini duit tapi kamu goyang kaki tak buat pape  mana lah duit nak maju kat kamu  uniform resource locator
"USER HKBP berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda,dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik.\nTerjadilah perpecahan dan berdirilah HKBP yg prtama kali di tarutung.\n\nNah skrg anda sy k",0,0,0,0,0,0,0,0,0,0,0,0,pengguna huria kristen batak protestan berdiri itu sejak pecahnya kristen katolik pada zaman penjajahan belandadulu tidak ada yang namanya kristen protestan yang ada cuma kristen katolik terjadilah perpecahan dan berdirilah huria kristen batak protestan yang pertama kali di tarutung  nah sekarang anda saya k
"Ha .. ha .. Banyak baca biar pintar ... JEPANG, AMERIKA, CHINA... Utang sama siapa ... Anda tau enggak ..?",0,0,0,0,0,0,0,0,0,0,0,0,apa  apa  banyak baca biar pintar  jepang amerika cina utang sama siapa  anda tau tidak
Prabowo Sudah Kalah Menyebut Bantuan Jokowi Hanya Pencitraan Adalah Ratapan Pilu,1,0,1,0,0,0,0,0,1,1,0,0,prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu
USER USER dan yang takut dengan adzan adalah IBLIS',0,0,0,0,0,0,0,0,0,0,0,0,pengguna pengguna dan yang takut dengan azan adalah
USER USER Yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus. Propaganda nasi bungkus memang selalu gagal.',1,1,0,1,0,0,0,0,1,0,1,0,pengguna pengguna yang  itu adalah   tukang tipu penjilat penguasa yang ketahuan gerakan masa yang dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal
USER USER USER USER Wuih... cebong sewot...\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',1,1,1,0,0,0,0,0,1,1,0,0,pengguna pengguna pengguna pengguna wah  sewot
2. Gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0,gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa
